2026-02-02 23:16:04,617 | INFO    | GraphQLClient        | -                              | introspection        | POST | success  |  0.549s | payload=[__schema] response=[{"data": {"__schema": {"queryType": {"name": "Query", "fields": [{"name": "pastes", "args": [{"name": "public", "type": {"name": "Boolean", "kind": "SCALAR", "ofType": null}}, {"name": "limit", "type"…]
2026-02-02 23:16:04,656 | INFO    | Fingerprinter        | probe                          | engine_probe         | POST | success  |  0.009s | payload=[query @skip { __typename }] response=[{"errors": [{"message": "Directive \"skip\" may not be used on \"QUERY\".", "locations": [{"line": 1, "column": 7}]}, {"message": "Directive \"skip\" argument \"if\" of type \"Boolean!\" is required b…]
2026-02-02 23:16:04,658 | INFO    | InfoTester           | field_suggestions              | field_suggestions    | POST | success  |  0.011s | payload=[query { __schema { directive } }] response=[{"errors": [{"message": "Cannot query field \"directive\" on type \"__Schema\". Did you mean \"directives\"?", "locations": [{"line": 1, "column": 20}]}]}]
2026-02-02 23:16:04,660 | INFO    | InjectionTester      | single_quote                   | pastes.filter        | POST | success  |  0.008s | payload=['] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 58}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,662 | INFO    | Fingerprinter        | probe                          | engine_probe         | POST | success  |  0.005s | payload=[query @deprecated { __typename }] response=[{"errors": [{"message": "Directive \"deprecated\" may not be used on \"QUERY\".", "locations": [{"line": 1, "column": 7}]}]}]
2026-02-02 23:16:04,663 | INFO    | InfoTester           | get_query                      | get_query            | GET  | success  |  0.004s | payload=[query { __typename }] response=[{"errors": [{"message": "POST body sent invalid JSON."}]}]
2026-02-02 23:16:04,665 | INFO    | InjectionTester      | or_1_eq_1_dash                 | pastes.filter        | POST | success  |  0.004s | payload=[' OR 1=1 --] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 68}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,669 | INFO    | Fingerprinter        | probe                          | engine_probe         | POST | success  |  0.007s | payload=[subscription { __typename }] response=[{"errors": [{"message": "Subscription must return Async Iterable or Observable. Received: <Promise at 0x7f8e53799060 fulfilled with 'Subscription'>"}], "data": null}]
2026-02-02 23:16:04,670 | INFO    | InfoTester           | get_mutation                   | get_mutation         | GET  | success  |  0.006s | payload=[mutation { __typename }] response=[{"errors": [{"message": "POST body sent invalid JSON."}]}]
2026-02-02 23:16:04,672 | INFO    | InjectionTester      | or_string_eq                   | pastes.filter        | POST | success  |  0.007s | payload=[' OR '1'='1] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 68}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
2026-02-02 23:16:04,674 | INFO    | Fingerprinter        | probe                          | engine_probe         | POST | success  |  0.005s | payload=[query @skip { __typename }] response=[{"errors": [{"message": "Directive \"skip\" may not be used on \"QUERY\".", "locations": [{"line": 1, "column": 7}]}, {"message": "Directive \"skip\" argument \"if\" of type \"Boolean!\" is required b…]
2026-02-02 23:16:04,678 | INFO    | InfoTester           | post_urlencoded                | post_urlencoded      | POST | success  |  0.007s | payload=[query { __typename }] response=[{"data": {"__typename": "Query"}}]
2026-02-02 23:16:04,679 | INFO    | InjectionTester      | double_quote_or                | pastes.filter        | POST | success  |  0.006s | payload=[" OR ""="] response=[{"errors": [{"message": "Syntax Error GraphQL (1:54) Expected :, found String\n\n1: query { pastes(public: true, limit: 1, filter: \"\" OR \"\"=\"\") { id message error success } }\n                  …]
2026-02-02 23:16:04,680 | INFO    | Fingerprinter        | probe                          | engine_probe         | POST | success  |  0.005s | payload=[aaa] response=[{"errors": [{"message": "Syntax Error GraphQL (1:1) Unexpected Name \"aaa\"\n\n1: aaa\n   ^\n", "locations": [{"line": 1, "column": 1}]}]}]
2026-02-02 23:16:04,681 | INFO    | InfoTester           | graphiql                       | graphiql             | GET  | success  |  0.003s | payload=[-] response=[{"errors": [{"message": "POST body sent invalid JSON."}]}]
2026-02-02 23:16:04,684 | INFO    | InjectionTester      | single_quote                   | paste.title          | POST | success  |  0.004s | payload=['] response=[{"errors": [{"message": "Cannot query field \"message\" on type \"PasteObject\".", "locations": [{"line": 1, "column": 39}]}, {"message": "Cannot query field \"error\" on type \"PasteObject\".", "loca…]
